Auteur,Degré,Communauté
Philip Häusser,8,5
Eddy Ilg,8,5
Farrukh Nagi,8,10
Gianni A. Di Caro,8,10
"Ramamoorthi, Ravi",8,591
"Singhal, Utkarsh",8,591
"Raghavan, Nithin",8,591
David Grangier,8,44
Rich Caruana,8,79
Heikki Huttunen,8,839
Stefano Ermon,8,4
Geoffrey Zweig,8,76
Han Hu,8,67
Jifeng Dai,8,67
Akira Hirose,8,585
Daiju Nakano,8,585
Hidetoshi Numata,8,585
Seiji Takeda,8,585
Naoki Kanazawa,8,585
Ryosho Nakane,8,585
Jean Benoit Héroux,8,585
Toshiyuki Yamane,8,585
Gouhei Tanaka,8,585
Jane X. Wang,8,10
Bharat B Biswal,8,258
Dylan G Gee,8,258
Zarrar E Shehzad,8,258
May-Britt Moser,8,652
Jean Kossaifi,8,229
Andreas Mueller,8,229
Philippe Gervais,8,229
Michael Eickenberg,8,229
Fabian Pedregosa,8,229
Alexandre Abraham,8,229
Allan L. Reiss,8,61
Mattia Rigotti,8,256
John Ashburner,8,247
Gaël Varoquaux,8,229
Bertrand Thirion,8,229
Qingming Huang,8,81
Yuki Hagiwara,8,80
Shu Lih Oh,8,80
Zhiheng Huang,8,30
Thomas N. Kipf,8,83
Nicolas Papernot,8,4
Ekin Dogus Cubuk,8,4
Chris Dyer,8,44
Miguel Ballesteros,8,44
Guillaume Lample,8,44
Matt Botvinick,8,10
Dharshan Kumaran,8,10
Rémi Munos,8,10
Joel Z. Leibo,8,10
Dhruva Tirumala,8,10
Zeb Kurth-Nelson,8,10
Jérôme Louradour,8,3
Michele Covell,8,11
Shumeet Baluja,8,11
Xiaohui Xie,8,10
Stephen Tyree,8,78
Bernt Schiele,8,249
Damien Vincent,8,11
Mahadev Satyanarayanan,8,57
James Bailey,8,34
Grant Schoenebeck,8,34
Michael E. Houle,8,34
Tong Lu,8,28
Sudanthi N. R. Wijewickrema,8,34
Sarah M. Erfani,8,34
Yisen Wang,8,34
Xingjun Ma,8,34
Junliang Xing,8,10
Cuiling Lan,8,10
Kwang-Cheng Chen,8,107
Aliaksei Severyn,8,527
Ting Liu,8,114
Duyu Tang,8,114
"Müller, Klaus-Robert",8,678
David Warde-Farley,8,3
Nicolas Bouchard,8,3
Arnaud Bergeron,8,3
Frédéric Bastien,8,3
Scott Makeig,8,181
Kaitao Song,8,28
Enze Xie,8,28
Dinggang Shen,8,30
Marinka Zitnik,8,117
Yejin Choi,8,44
Cheng Yang,8,30
Zhengyan Zhang,8,30
Shengding Hu,8,30
Ganqu Cui,8,30
Andrew Tulloch,8,6
Aapo Kyrola,8,6
Lukasz Wesolowski,8,6
Pieter Noordhuis,8,6
Priya Goyal,8,6
Piotr Dollár,8,6
Zhaowen Wang,8,175
Benjamin Recht,8,4
Chengqi Zhang,8,51
Guodong Long,8,51
Wenjun Zeng,8,10
Emily Allaway,8,44
Ronan LeBras,8,44
Maarten Sap,8,44
Lin Shi,8,212
Vincent C. T. Mok,8,212
Defeng Wang,8,212
Jing Qin,8,212
Lei Zhao,8,212
Lequan Yu,8,212
Hao Chen 0011,8,212
Francisco Pereira,8,10
Alan C. Evans,8,173
Changcheng Li,8,30
Lifeng Wang,8,30
Shirui Pan,8,51
K. J. Friston,8,50
Christian Beckmann,8,18
pierremarc jodoin,8,40
chris pal,8,40
aaron courville,8,40
antoine biard,8,40
david wardefarley,8,40
mohammad havaei,8,40
axel davy,8,40
Timothy Behrens,8,18
Salima Makni,8,18
Michael Chappell,8,18
Karn Seth,8,68
Aaron Segal,8,68
Brendan Roof,8,44
Hannah Rashkin,8,44
Nicholas Lourie,8,44
George Saon,8,4
Brian Kingsbury,8,4
Anima Anandkumar,8,693
Kamyar Azizzadenesheli,8,693
Mark W Woolrich,8,18
Dan C. Ciresan,8,10
Sarvar Patel,8,68
Antonio Marcedone,8,68
Ben Kreuter,8,68
Vladimir Ivanov,8,68
