Auteur,Degré,Communauté
Matthew Mirman,5,624
Timon Gehr,5,624
Dana Drachsler-Cohen,5,624
Petar Tsankov,5,624
Weidong Cai,5,28
Yun Zhou,5,28
David Dagan Feng,5,28
Mei Chen,5,28
Yin Lou,5,79
Johannes Gehrke,5,79
Paul Koch,5,79
Marc Sturm,5,79
Noemie Elhadad,5,79
Samuel R. Bowman,5,249
Chenzi Jiang,5,107
Daquan Feng,5,107
Gubong Lim,5,107
Leonard J. Cimini Jr.,5,107
Gang Feng,5,107
Xuebin Qin,5,510
Jonathan Binas,5,417
Matthew Cook,5,417
Wanli Ouyang,5,28
Michael Pfeiffer,5,417
Peter L. Bartlett,5,4
Jingyuan Chen,5,249
Wei Liu,5,249
Xiaojuan Qi,5,212
Chi-Wing Fu,5,212
Gwenaëlle Douaud,5,18
Matthew F. Glasser,5,18
Ludovica Griffanti,5,18
CireşanDan Claudiu,5,10
GambardellaLuca Maria,5,10
Nan Yang,5,114
Tianyi Zhou,5,51
Matthew Brett,5,47
Nathan Dowlin,5,210
Ran Gilad-Bachrach,5,210
Kim Laine,5,210
Kristin E. Lauter,5,210
Michael Naehrig,5,210
John Wernsing,5,210
Xiaomeng Li,5,212
"Schulman, John",5,1
"Chung, Junyoung",5,22
"Kastner, Kyle",5,22
"Dinh, Laurent",5,22
"Goel, Kratarth",5,22
"Courville, Aaron C.",5,22
Daniel Neil,5,417
Peter U. Diehl,5,417
Jeffrey Donahue,5,6
"Dauphin, Yann N.",5,22
Tom Brosch,5,423
"De Turck, Filip",5,1
Luke E. Stoeckel,5,648
Rosalyn E. Weller,5,648
Edwin W. Cook III,5,648
Donald B. Twieg,5,648
Robert C. Knowlton,5,648
James E. Cox,5,648
"Mikolov, T.",5,207
"Burget, L.",5,207
Wei Zhang,5,208
Hasim Sak,5,4
Yonatan Belinkov,5,44
"Houthooft, Rein",5,1
Trygve Solstad,5,652
Kristian Frøland,5,652
Edvard I Moser,5,652
Hasan Ayaz,5,654
Patricia A Shewokis,5,654
Francesc Moreno-Noguer,5,11
Hanne Stensola,5,652
Weicong Kong,5,249
Zhao Yang Dong,5,249
Youwei Jia,5,249
David J. Hill,5,249
Yuan Zhang,5,249
David K. B. Li,5,423
Anthony Traboulsee,5,423
Roger C. Tam,5,423
Abbas Khosravi,5,838
Jacob Goldberger,5,188
Eduard Trulls,5,11
Luis Ferraz,5,11
Pascal Fua,5,11
Hao Ye,5,249
Jun Xiao,5,249
Fei Wu,5,249
Daniel Brüderle,5,663
Johannes Schemmel,5,663
Andreas Grübl,5,663
Matthias Hock,5,663
Scott Bunce,5,654
Kurtulus Izzetoglu,5,654
Ben Willems,5,654
Banu Onaral,5,654
Tor Stensola,5,652
Yasaman Bahri,5,4
Jeffrey Pennington,5,4
Adriënne M. Mendrik,5,464
Linda S. de Vries,5,464
Manon J. N. L. Benders,5,464
Gary H Glover,5,471
Mamoun Alazab,5,475
R. Vinayakumar,5,475
K. P. Soman,5,475
Prabaharan Poornachandran,5,475
Ameer Al-Nemrat,5,475
Sitalakshmi Venkatraman,5,475
Idit Diamant,5,188
Maayan Frid-Adar,5,188
Eyal Klang,5,188
Michal Amitai,5,188
Stephen J. Shellhammer,5,314
Winston Caldwell,5,314
John A. Stankovic,5,6
Andreas Terzis,5,6
Matt Welsh,5,6
Jacob Andreas,5,6
Pim Moeskops,5,464
Z. Berkay Celik,5,70
Michael Schlichtkrull,5,83
Peter Bloem,5,83
Rianne van den Berg,5,83
Lisa Y. W. Tang,5,423
Karlheinz Meier,5,663
Sebastian Millner,5,663
Jaehoon Lee,5,4
Lechao Xiao,5,4
Jocelyn Faubert,5,229
Xiaofei Wang,5,408
Yiwen Han,5,408
Yezhou Yang,5,529
Yongcheng Jing,5,529
Zunlei Feng,5,529
"Odena, Augustus",5,4
"Oliver, Avital",5,4
"Raffel, Colin A.",5,4
"Cubuk, Ekin Dogus",5,4
Chenyang Lu,5,6
JeongGil Ko,5,6
Carl R. Stevenson,5,314
Gerald Chouinard,5,314
Zhongding Lei,5,314
Wendong Hu,5,314
Bing Zhang,5,674
Antonio Plaza,5,674
Ziwei Liu,5,28
Arnaud Delorme,5,181
Danfeng Hong,5,674
Lianru Gao,5,674
Chenyang Wang,5,408
Qiyang Zhao,5,408
Xu Chen,5,408
Zeynep Akata,5,249
Xinchen Yan,5,249
Lajanugen Logeswaran,5,249
Hubert J. Banville,5,229
Yannick Roy,5,229
Isabela Albuquerque,5,229
Tiago H. Falk,5,229
Zhaochun Ren,5,6
Tao Lian,5,6
Qian Chen,5,4
Xiaodan Zhu,5,4
Zhen-Hua Ling,5,4
Si Wei,5,4
Diana Inkpen,5,4
Jingwen Ye,5,529
Mingli Song,5,529
Nikolay Savinov,5,400
Timo Hackel,5,400
Lubor Ladicky,5,400
Marc Pollefeys,5,400
Vivienne Sze,5,24
Yu-Hsin Chen,5,24
Jing Yao,5,674
Ioannis Krikidis,5,451
Stelios Timotheou,5,451
Symeon Nikolaou,5,451
Gan Zheng,5,451
Derrick Wing Kwan Ng,5,451
Robert Schober,5,451
Mirella Lapata,5,324
Pengjie Ren,5,6
Zhumin Chen,5,6
Dimitris Samaras,5,676
Le Hou,5,676
Tahsin M Kurc,5,676
Yi Gao,5,676
James E Davis,5,676
Joel H Saltz,5,676
Jocelyn Chanussot,5,674
D. Louis Collins,5,173
Zhenghua Chen,5,4
Peng Wang,5,4
Robert X. Gao,5,4
Sumit Chopra,5,44
Sherif Shehata,5,812
Didier Mutter,5,812
Amos J. Storkey,5,445
Antreas Antoniou,5,445
Eunhyeok Park,5,446
Sungjoo Yoo,5,446
Taelim Choi,5,446
Lu Yang,5,446
Dongjun Shin,5,446
Mike Lewis,5,44
Nicholas Carlini,5,34
Adam R. Kosiorek,5,3
Seungjin Choi,5,3
David Bau,5,171
Leilani H. Gilpin,5,171
Jacques Marescaux,5,812
Michel de Mathelin,5,812
Nicolas Padoy,5,812
Yonglong Tian,5,28
Moustafa Alzantot,5,6
Ahmed Elgohary,5,6
Bo-Jhang Ho,5,6
Kai-Wei Chang,5,6
Bing Qin,5,114
Kelly N. Botteron,5,173
C. Robert Almli,5,173
Robert C. McKinstry,5,173
R Kikinis,5,335
Daniel S. Marcus,5,120
Tracy H. Wang,5,120
John G. Csernansky,5,120
John C. Morris,5,120
Sanketh Shetty,5,11
Chao Dong,5,28
Filipp Akopyan,5,318
Nabil Imam,5,318
Rajit Manohar,5,318
Dharmendra S. Modha,5,318
Michael Specter,5,171
Lalana Kagal,5,171
Juho Lee,5,3
Yoonho Lee,5,3
Jungtaek Kim,5,3
Dun Liang,5,687
Zhe Zhu,5,687
Song-Hai Zhang,5,687
Xiaolei Huang,5,687
Baoli Li,5,687
Shi-Min Hu,5,687
Varun Tolani,5,6
Tzyy-Ping Jung,5,181
Martin J McKeown,5,181
Anthony J Bell,5,181
Te-Won Lee,5,181
Terrence J Sejnowski,5,181
Jing Zhou,5,688
Nemanja Djuric,5,688
A Nabavi,5,335
F A Jolesz,5,335
Vladan Radosavljevic,5,688
Narayan Bhamidipati,5,688
Patricia Rubisch,5,53
Robert Geirhos,5,53
Claudio Michaelis,5,53
Felix A. Wichmann,5,53
Wieland Brendel,5,53
Syed Ali Jafar,5,88
Sixin Zhang,5,4
Philip Holmes,5,811
Gordon Wetzstein,5,440
C-F Westin,5,335
S E Maier,5,335
H Mamata,5,335
Ben Z. Yuan,5,171
Ayesha Bajwa,5,171
Balaji Lakshminarayanan,5,4
Wei-Cheng Chang,5,10
Yiming Yang,5,10
Vincent Sitzmann,5,440
Deng Kuan,5,336
He Xiangnan,5,336
Wang Xiang,5,336
Li Yan,5,336
Zhang Yongdong,5,336
Wang Meng,5,336
Mengye Ren,5,3
Andru Putra Twinanda,5,812
Jianxun Lian,5,611
Huaguang Zhang,5,804
Robin Morris,5,688
Mihajlo Grbovic,5,688
Jiaxuan You,5,117
Xiang Ren,5,117
Silvano Galliani,5,400
Uwe Stilla,5,400
David S. Pellinen,5,695
Patrick J. Rousche,5,695
Mohamad M. Al Rahhal,5,805
Yakoub Bazi,5,805
Haikel Salem Alhichri,5,805
Naif Alajlan,5,805
Farid Melgani,5,805
Ronald R. Yager,5,805
Xiaohuan Zhou,5,611
Zhongxia Chen,5,611
Guangzhong Sun,5,611
Norman Mu,5,4
Yuntian Deng,5,44
Tong He,5,340
Zhi Zhang,5,340
Hang Zhang,5,340
Zhongyue Zhang,5,340
Junyuan Xie,5,340
Mu Li,5,340
Huijuan Xu,5,6
Weibo Liu,5,91
Zidong Wang,5,91
Xiaohui Liu,5,91
Fuad E. Alsaadi,5,91
David P. Pivin Jr.,5,695
Justin C. Williams,5,695
Rio J. Vetter,5,695
Daryl R. Kipke,5,695
Erik McDermott,5,345
Ignacio Lopez Moreno,5,345
Javier Gonzalez-Dominguez,5,345
"Lopez Moreno, I.",5,345
J Li,5,346
M Galley,5,346
Lasse Espeholt,5,10
Antoine Bordes,5,3
Michael Karlen,5,3
Pavel Kuksa,5,3
Nicholas Cummins,5,699
Stefan Scherer,5,699
Jarek Krajewski,5,699
Sebastian Schnieder,5,699
Julien Epps,5,699
Thomas F. Quatieri,5,699
Kenneth M Prkachin,5,10
Jacob Devlin,5,700
Rabih Zbib,5,700
Zhongqiang Huang,5,700
Thomas Lamar,5,700
Richard M. Schwartz,5,700
John Makhoul,5,700
Bert Arnrich,5,702
Cornelia Setz,5,702
Johannes Schumm,5,702
Roberto La Marca,5,702
David R. J. Snead,5,347
Ian A. Cree,5,347
Nasir M. Rajpoot,5,347
Ehsan Variani,5,345
Xin Lei,5,345
Yair Rivenson,5,350
Nezih T. Yardimci,5,350
Muhammed Veli,5,350
Mona Jarrahi,5,350
Aydogan Ozcan,5,350
C Brockett,5,346
GP Spithourakis,5,346
J Gao,5,346
B Dolan,5,346
Korsuk Sirinukunwattana,5,347
Shan e Ahmed Raza,5,347
Yee-Wah Tsang,5,347
Amishi P Jha,5,10
Lauren M Bylsma,5,10
Sara A Fabian,5,10
Patricia E Solomon,5,10
Michael J Ramsbottom,5,149
Chen Chang,5,149
Wei Cheng,5,70
Guofei Jiang,5,70
Anjali Krishnan,5,47
Xing Lin,5,350
Jia-Bin Huang,5,81
Daniel Soudry,5,3
Itay Hubara,5,3
Wojciech Samek,5,151
Gerhard Tröster,5,702
Ulrike Ehlert,5,702
Jonas Uhrig,5,5
Nick Schneider,5,5
Lukas Schneider,5,5
Uwe Franke,5,5
Siwei Lai,5,100
Michael Cogswell,5,17
Ramprasaath R. Selvaraju,5,17
Abhishek Das,5,17
Ramakrishna Vedantam,5,17
Yao Qin,5,70
Haifeng Cheng,5,70
Kuan-Hung Cho,5,327
Ching-Po Lin,5,327
Anish Mitra,5,37
Timothy O. Laumann,5,37
Tong Xiao,5,28
Shifeng Zhang,5,158
Xiangyu Zhu,5,158
Hailin Shi,5,158
Xiaobo Wang,5,158
Seong Joon Oh,5,105
Sanghyuk Chun,5,105
Junsuk Choe,5,105
Youngjoon Yoo,5,105
Takeru Miyato,5,3
Subramanian Sundaram,5,6
Yunzhu Li,5,6
Chunxiao Jiang,5,107
Haijun Zhang,5,107
Yong Ren,5,107
"Bahadori, Mohammad Taha",5,354
"Choi, Edward",5,354
Chun-Hung Yeh,5,327
Cícero Nogueira dos Santos,5,3
John Russell,5,149
Liheng Xu,5,100
Ang Li,5,920
Jonathon Shlens,5,4
"Sun, Jimeng",5,354
"Kulas, Joshua",5,354
"Schuetz, Andy",5,354
Junyoung Chung,5,3
Gwanggil Jeon,5,522
Yanming Guo,5,143
Ard Oerlemans,5,143
Songyang Lao,5,143
Song Wu,5,143
Michael S. Lew,5,143
Jinglei Yang,5,522
Zheng Liu,5,522
Xiaomin Yang,5,522
Ivo Danihelka,5,10
Mehrdad Farajtabar,5,920
Seyed Iman Mirzadeh,5,920
Patricia A Carpenter,5,785
Nancy J Minshew,5,785
Vladimir L Cherkassky,5,785
Timothy A Keller,5,785
Marcel Adam Just,5,785
Zachary C. Lipton,5,110
Charles Elkan,5,110
Yunchuan Chen,5,249
Jean Decety,5,138
Peng Li,5,133
Yijin Guan,5,133
Bingjun Xiao,5,133
Sungjin Ahn,5,3
Hideya Koshino,5,785
Yang Shen,5,76
A. L. S. King,5,753
A. M. ValençA,5,753
Matthias Krauledat,5,151
Piotr A. Habas,5,176
Jacek M. Zurada,5,176
Joseph Y. Lo,5,176
Jay A. Baker,5,176
Georgia D. Tourassi,5,176
Dimitri Van De Ville,5,409
Chaowei Xiao,5,34
Warren He,5,34
Mingyan Liu,5,34
Danqi Chen,5,249
Tianlong Chen,5,76
Yuning You,5,76
W Martin,5,373
C Beaulieu,5,373
Han Kai,5,371
Wang Yunhe,5,371
Tian Qi,5,371
Guo Jianyuan,5,371
Nir Levine,5,920
Akihiro Matsukawa,5,920
Hassan Ghasemzadeh,5,920
Jason Bolton,5,249
Gong Cheng,5,402
Kratarth Goel,5,11
Vignesh Ramanathan,5,11
Alexandre Robicquet,5,11
Yongduo Sui,5,76
Ting Chen,5,76
T. Baczynski,5,753
M. R. Carvalho,5,753
A. E. Nardi,5,753
F. Merrikh-Bayat,5,121
M. Prezioso,5,121
B. D. Hoskins,5,121
G. C. Adam,5,121
D. B. Strukov,5,121
K. K. Likharev,5,121
Wen-tau Yih,5,76
Hugo Touvron,5,122
Matthijs Douze,5,122
Francisco Massa,5,122
M Gee,5,373
R Camicioli,5,373
M Wieler,5,373
James Ostell,5,118
Eric W. Sayers,5,118
Stefan Koelsch,5,767
Thomas C. Gunter,5,767
Panu Korpipää,5,393
Jani Mäntyjärvi,5,393
Johannes Peltola,5,393
Ilkka Korhonen,5,393
John V. Guttag,5,120
Bastian Leibe,5,400
Jiwei Li,5,4
Dan Jurafsky,5,4
Xu Chunjing,5,371
Xu Chang,5,371
C Lebel,5,373
A. C. O. Silva,5,753
Geoffrey Hinton,5,4
A. M. Clare Kelly,5,258
Daniel S. Margulies,5,258
Kiryong Ha,5,57
Zhuo Chen,5,57
Wenlu Hu,5,57
Wolfgang Richter,5,57
Padmanabhan Pillai,5,57
Fuchun Sun,5,114
 Ming-Ming Cheng,5,28
 Ali Borji,5,28
Tao Kong,5,114
Wenchang Zhang,5,114
Chao Yang,5,114
D Yves v  Cramon,5,767
Stefan Zysset,5,767
Zhou Luping,5,260
Yuan Hong,5,260
jeremy forth,5,2
guilherme a barreto,5,2
neil d lawrence,5,2
"Roelofs, Rebecca",5,379
"Wilson, Ashia C.",5,379
"Stern, Mitchell",5,379
Nathan Srebro,5,379
"Recht, Benjamin",5,379
"Srebro, Nati",5,379
Jeffrey Dean,5,4
Chunfang Liu,5,114
Marcus Liwicki,5,10
Roman Bertolami,5,10
Horst Bunke,5,10
Dmitri B. Chklovskii,4,16
X Pennec,4,703
Junshui Ma,4,381
Robert P Sheridan,4,381
Andy Liaw,4,381
George E Dahl,4,381
Vladimir Svetnik,4,381
Alexander R. Statnikov,4,378
Constantin F. Aliferis,4,378
Germán Ros,4,3
Laura Sellart,4,3
Joanna Materzynska,4,3
Antonio M. Lopez,4,3
Adam Paszke,4,156
Eugenio Culurciello,4,156
N Ayache,4,703
Clément Hongler,4,153
Dan C. Cireşan,4,10
Luca M. Gambardella,4,10
ali farhadi,4,6
dragomir anguelov,4,9
wei liu,4,9
dumitru erhan,4,9
christian szegedy,4,9
Anh Mai Nguyen,4,5
Jason Yosinski,4,5
A Roche,4,703
S Ourselin,4,703
G Subsol,4,703
Chunyang Li,4,150
Xiuping Jia,4,150
Guillaume Klein,4,44
Jean Senellart,4,44
anh nguyen,4,148
Úlfar Erlingsson,4,34
Jernej Kos,4,34
"Le, Quoc V.",4,10
Shaoqing Ren,4,6
Erik Winfree,4,374
Elizabeth Rawson,4,390
Jeremy R. Gray,4,390
Deena Skolnick Weisberg,4,390
Frank C. Keil,4,390
Joshua Goodstein,4,390
thomas fuchs,4,148
hod lipson,4,148
Bolun Cai,4,81
Xiangmin Xu,4,81
Chunmei Qing,4,81
Hanlu Jiang,4,150
Yushi Chen,4,150
Kelvin Guu,4,44
Zora Tung,4,44
Panupong Pasupat,4,44
Mingwei Chang,4,44
"Schmidhuber, Jürgen",4,10
Angela Fan,4,44
Levent Eren,4,395
Murat Askar,4,395
Moncef Gabbouj,4,395
Qin-Yu Zhu,4,107
German I. Parisi,4,161
Ronald Kemker,4,161
Jose L. Part,4,161
Christopher Kanan,4,161
Stefan Wermter,4,161
Amy Zhao,4,120
Guha Balakrishnan,4,120
Adrian V. Dalca,4,120
Yixin Cao,4,249
Meng Liu,4,249
Wang Ling,4,44
Austin Matthews,4,44
Serkan Kiranyaz,4,395
Turker Ince,4,395
michel galley,4,163
chris brockett,4,163
jianfeng gao,4,163
bill dolan,4,163
Alexis Conneau,4,44
Ludovic Denoyer,4,44
Marc’Aurelio Ranzato,4,44
Da Xiao,4,3
Olaf Sporns,4,21
Mingxing Tan,4,4
alessandro sordoni,4,3
Andriy Mnih,4,3
Germain Forestier,4,147
Hassan Ismail Fawaz,4,147
Jonathan Weber,4,147
Lhassane Idoumghar,4,147
Pierre-Alain Muller,4,147
jason yosinski,4,148
Guo Huifeng,4,168
Guangyou Zhou,4,100
Saibo Xing,4,582
Tao Yan,4,582
jeff clune,4,148
Peng Qi,4,249
Lucas Beyer,4,400
Will Monroe,4,4
Tianlin Shi,4,4
Alan Ritter,4,4
Bing Xiang,4,3
Tang Ruiming,4,168
Ye Yunming,4,168
Li Zhenguo,4,168
He Xiuqiang,4,168
haonan yu,4,11
Matthieu Courbariaux,4,3
Ran El-Yaniv,4,3
Murray B. Stein,4,682
Franck Mamalet,4,543
Moez Baccouche,4,543
Hailin Jin,4,175
Quanzeng You,4,175
Chen Fang,4,175
Christian Wolf,4,543
Atilla Baskurt,4,543
Lei Guo,4,402
Catherine Lebel,4,404
Lindsay Walker,4,404
Alexander Leemans,4,404
Linda Phillips,4,404
Christian Beaulieu,4,404
Kenneth R. Koedinger,4,405
Charles Ruizhongtai Qi,4,19
Hao Su,4,19
Leonidas J. Guibas,4,19
Shiqi Shen,4,30
Yankai Lin,4,30
Guido Dornhege,4,151
Yuhao Zhang,4,249
Yuhui Zhang,4,249
Ceyuan Yang,4,402
Xiwen Yao,4,402
Liu Jiang-Jiang,4,81
Jiashi Feng,4,81
Jianmin Jiang,4,81
Corianne Rogalsky,4,682
Martin P. Paulus,4,682
Alan Simmons,4,682
Justin S. Feinstein,4,682
Shubham Tulsiani,4,6
Tinghui Zhou,4,6
Weilun Sun,4,6
Jiabin Huang,4,722
Xueyang Fu,4,722
Xinghao Ding,4,722
Yinghao Liao,4,722
John Paisley,4,722
Jong Chul Ye,4,410
Sungho Tak,4,410
Kwang Eun Jang,4,410
Jinwook Jung,4,410
Yin Zheng,4,913
Zhuxi Jiang,4,913
Huachun Tan,4,913
Bangsheng Tang,4,913
Hanning Zhou,4,913
Jiebo Luo,4,175
Pablo Arbelaez,4,6
Michal Drozdzal,4,3
Simon Jégou,4,3
Adriana Romero,4,3
Rong Ge,4,126
Yingyu Liang,4,126
Christopher J. C. Burges,4,412
Huimin Lu,4,408
Yujie Li,4,408
Hyoungseop Kim,4,408
Seiichi Serikawa,4,408
Ying-chang Liang,4,107
Thomas Serre,4,30
Stanley Bileschi,4,30
Maximilian Riesenhuber,4,30
Tomaso Poggio,4,30
Gustavo Deco,4,494
Viktor K Jirsa,4,494
Peter A Robinson,4,494
Karl Friston,4,494
Shi Guo,4,42
Zifei Yan,4,42
Tengyu Ma,4,126
Ashraf M. Abdul,4,724
Jo Vermeulen,4,724
Connelly Barnes,4,249
Yi Zhou,4,249
Jingwan Lu,4,249
"Bourgeois, Dylan",4,912
"Ying, Zhitao",4,912
"You, Jiaxuan",4,912
"Zitnik, Marinka",4,912
"Leskovec, Jure",4,912
Jaeduck Jang,4,410
aditya khosla,4,27
Danding Wang,4,724
Brian Y. Lim,4,724
Mohan S. Kankanhalli,4,724
Emery N. Brown,4,727
Bruce D McCandliss,4,68
John Fossella,4,68
Jonathan I Flombaum,4,68
Michael I Posner,4,68
Riccardo Barbieri,4,727
Valérie Ventura,4,727
Robert E. Kass,4,727
Loren M. Frank,4,727
Changchuan Yin,4,671
Mérouane Debbah,4,671
Tero Karras,4,78
Timo Aila,4,78
Basura Fernando,4,10
Guillaume Bouchard,4,134
Suyog Gupta,4,137
Toni Heittola,4,839
Tuomas Virtanen,4,839
Joshua H Balsters,4,907
Jörn Diedrichsen,4,907
Jonathan Flavell,4,907
Emma Cussans,4,907
Narender Ramnani,4,907
Jianrui Cai,4,42
Tao Dai,4,42
Yongbing Zhang,4,42
Shu-Tao Xia,4,42
Ruben Villegas,4,249
Xunyu Lin,4,249
Lei Jimmy Ba,4,3
bolei zhou,4,27
agata lapedriza,4,27
aude oliva,4,27
Le Trieu Phong,4,425
Yoshinori Aono,4,425
Takuya Hayashi,4,425
Lihua Wang,4,425
Shiho Moriai,4,425
antonio torralba,4,27
Emre Çakir,4,839
Giambattista Parascandolo,4,839
Hakan Bilen,4,10
Stephen Gould,4,10
Mingzhe Chen,4,671
Ursula Challita,4,671
Walid Saad,4,671
Yixue Hao,4,408
Kai Hwang,4,408
Lu Wang,4,408
Lin Wang,4,408
Timothy E. J. Behrens,4,18
Jamie Ryan Kiros,4,3
DeLiang Wang,4,189
Frederik Maes,4,733
Koen Van Leemput,4,733
Dirk Vandermeulen,4,733
Alan C. F. Colchester,4,733
Aäron Van Den Oord,4,10
Johannes Welbl,4,134
Théo Trouillon,4,134
Sebastian Riedel,4,134
yan yan,4,903
jingkuan song,4,903
nicu sebe,4,903
Ricky T. Q. Chen,4,3
Will Grathwohl,4,3
Mark W. Woolrich,4,18
Éric Gaussier,4,134
Paul Suetens,4,733
Ethan Fetaya,4,83
Kuan-Chieh Wang,4,83
Yi Ma,4,195
Clark W. Barrett,4,196
Guy Katz,4,196
Christopher B. Choy,4,11
Lyne P. Tchapmi,4,11
Iro Armeni,4,11
Gabriel Pereyra,4,4
George Tucker,4,4
Jan Chorowski,4,4
Anbang Yao,4,348
Aojun Zhou,4,348
Yiwen Guo,4,348
Lin Xu,4,348
Forest Agostinelli,4,4
Peter J. Sadowski,4,4
dan xu,4,903
elisa ricci,4,903
Desen Zhou,4,195
Yingying Zhang,4,195
Siqin Chen,4,195
Mu Zhou,4,746
Wei Shen,4,746
Feng Yang,4,746
Thomas Huang,4,175
Zichao Yang,4,3
Xiaodan Liang,4,3
Caiyun Yang,4,746
Jie Tian,4,746
Yapeng Tian,4,653
Wei Wang,4,653
Jing-Hao Xue,4,653
Xiaomeng Chai,4,107
Zhongshan Zhang,4,107
Athanasios V. Vasilakos,4,107
David L. Dill,4,196
Kyle Julian,4,196
Ruobing Xie,4,30
Jia Jia,4,30
Rupesh Kumar Srivastava,4,10
Qiong Cao,4,10
Weidi Xie,4,10
Omkar M. Parkhi,4,10
Dekang Qi,4,203
Chi Hay Tong,4,901
Ingmar Posner,4,901
Ahmad R Hariri,4,342
Alessandro Tessitore,4,342
Venkata S Mattay,4,342
Francesco Fera,4,342
Daniel R Weinberger,4,342
P Aljabar,4,343
R A Heckemann,4,343
A Hammers,4,343
J V Hajnal,4,343
D Rueckert,4,343
Yurong Chen,4,348
Jianchao Yang,4,175
Scott Cohen,4,175
J Ashburner,4,438
Kelly Anne Barnes,4,37
Shuochao Yao,4,899
Yiran Zhao,4,899
Aston Zhang,4,899
Tarek F. Abdelzaher,4,899
Dushyant Rao,4,901
Martin Engelcke,4,901
Dominic Zeng Wang,4,901
Jiawen Chen,4,591
Michaël Gharbi,4,591
Samuel W. Hasinoff,4,591
Frédo Durand,4,591
Shaohan Hu,4,899
Jason D. Lee,4,126
Haochuan Li,4,126
Julien N. P. Martel,4,440
Alexander W. Bergman,4,440
David B. Lindell,4,440
Wenming Yang,4,653
Xuechen Zhang,4,653
Rasmus M Birn,4,11
Daniel A Handwerker,4,11
Tyler B Jones,4,11
Peter A Bandettini,4,11
Sanjay Purushotham,4,44
Zhengping Che,4,44
Maithra Raghu,4,4
Jon M. Kleinberg,4,4
Amirhossein Tavanaei,4,181
Earl T. Barr,4,334
Zhendong Su,4,334
Mark Gabel,4,334
Premkumar Devanbu,4,334
Yubo Chen,4,100
Kazuhiro Nakadai,4,894
Hiroshi G. Okuno,4,894
Tetsuya Ogata,4,894
Masoud Ghodrati,4,181
Anthony S. Maida,4,181
Dandelion Mane,4,4
Junbo Zhang,4,203
Xuezhe Ma,4,3
Zhengzhong Liu,4,3
Eduard H. Hovy,4,3
Rolf A. Heckemann,4,52
Paul Aljabar,4,52
Alexander Hammers,4,52
Abram Hindle,4,334
Jianping Shi,4,28
Xingang Pan,4,28
Bado Lee,4,105
Xin Kang,4,107
Hari Krishna Garg,4,107
Antti Rasmus,4,209
Harri Valpola,4,209
Jinyu Li,4,76
Jui-Ting Huang,4,76
Yifan Gong,4,76
Richard J. Haier,4,892
Ronald A. Yeo,4,892
Kevin Head,4,892
Saurabh Singh,4,11
Nick Johnston,4,11
Kang Peng,4,448
Predrag Radivojac,4,448
Slobodan Vucetic,4,448
A Keith Dunker,4,448
Zoran Obradovic,4,448
Michael T. Alkire,4,892
Kuniaki Noda,4,894
Yuki Yamaguchi,4,894
Philipp Moritz,4,4
Yu-Xiao Guo,4,126
Chun-Yu Sun,4,126
Xin Tong,4,126
Rex E. Jung,4,892
Yunjin Chen,4,42
Deyu Meng,4,42
Taesup Kim,4,4
Nate Kushman,4,4
Sandy H. Huang,4,4
S. Vinitha Sree,4,80
G. Swapna,4,80
Roshan Joy Martis,4,80
Kuan Wang,4,24
Zhijian Liu,4,24
Yujun Lin,4,24
Ji Lin,4,24
Gian Domenico Iannetti,4,891
Peng-Shuai Wang,4,126
Marijn van Wingerden,4,25
Franscesco Battaglia,4,25
Cyriel M A Pennartz,4,25
V. Ravi,4,326
Lu Jiang,4,11
Zhengyuan Zhou,4,11
Florian Tramèr,4,70
Ari Juels,4,70
Michael K. Reiter,4,70
Mikko Honkala,4,209
Mathias Berglund,4,209
Tapani Raiko,4,209
Jesper Andersson,4,47
Jean-Baptiste Poline,4,47
Youngmin Baek,4,105
Hwalsuk Lee,4,105
petr gronat,4,125
relja arandjelovic,4,125
akihiko torii,4,125
tomas pajdla,4,125
josef sivic,4,125
Marco Gori,4,48
Ana Diukova,4,891
André Mouraux,4,891
Michael C. Lee,4,891
Richard G. Wise,4,891
Zhe Cao,4,126
Ming-Feng Tsai,4,126
Klaus Greff,4,10
Adam Santoro,4,10
Sergey Bartunov,4,10
Bishan Yang,4,76
Pan He,4,216
"Wierstra, Daan",4,10
Franco Scarselli,4,48
Martin Vinck,4,25
Xiaoyong Yuan,4,216
Qile Zhu,4,216
Rajendra Rana Bhat,4,216
Xiaolin Li,4,216
Arrate Munoz-Barrutia,4,761
Xabier Artaechevarria,4,761
Carlos Ortiz-de-Solorzano,4,761
"Munoz-Barrutia, A.",4,761
"Ortiz-de-Solorzano, C.",4,761
Qi Liu,4,763
Yi Zheng,4,763
Enhong Chen,4,763
Yong Ge,4,763
J. Leon Zhao,4,763
Mostafa Dehghani,4,4
Joshua Zhexue Huang,4,885
Haider Abbas,4,885
Yu-Lin He,4,885
Ron J. Weiss,4,4
Kevin W. Wilson,4,4
Jon Atli Benediktsson,4,457
Johannes R. Sveinsson,4,457
Stephan Gouws,4,4
Patrick Gallagher,4,81
Zhengyou Zhang,4,81
Søren Kaae Sønderby,4,634
Ole Winther,4,634
Scott T. Grafton,4,637
Ruoming Pang,4,4
"Chen, Guobin",4,632
Andrew M. Dai,4,3
Takaaki Hori,4,718
Suyoun Kim,4,718
Tomoki Hayashi,4,718
Rana Aamir Raza Ashfaq,4,885
Xi-Zhao Wang,4,885
"Choi, Wongun",4,632
"Yu, Xiang",4,632
Tony X. Han,4,632
